Kab/Kota,Masjid,Mushola,Gereja Protestan,Gereja Katolik,Pura,Vihara,Klenteng
Kab Pacitan,1546,1617,6,6,0,0,0
Kab Ponorogo,327,3212,25,20,0,2,0
Kab Trenggalek,1312,2171,15,5,0,0,0
Kab Tulungagung,1302,2794,58,7,3,6,1
Kab Blitar,1077,825,102,63,91,23,1
Kab Kediri,1462,4528,220,37,51,0,0
Kab Malang,2087,11297,290,41,58,12,0
Kab Lumajang ,904,6267,38,13,26,1,0
Kab Jember,2355,10085,92,12,4,6,0
Kab Banyuwangi,1761,1512,117,21,75,23,1
Kab Bondowoso,1020,3420,16,7,2,1,0
Kab Situbondo,647,1438,17,7,0,0,0
Kab Probolinggo,1218,441,18,8,40,0,1
Kab Pasuruan,1490,6123,56,7,33,1,1
Kab Sidoarjo,1014,4154,144,8,4,2,1
Kab Mojokerto,1045,3059,41,9,7,2,0
Kab Jombang,1167,2957,105,6,8,1,4
Kab Nganjuk,980,2267,34,7,1,0,2
Kab Madiun,884,205,60,12,4,0,0
Kab Magetan,969,3091,91,10,1,6,0
Kab Ngawi,1385,3960,66,24,0,4,0
Kab Bojonegoro,1235,5996,44,7,0,1,1
Kab Tuban,851,5771,25,6,0,0,2
Kab Lamongan,1702,4354,14,4,1,0,0
Kab Gresik,1047,2330,10,5,11,0,0
Kab Bangkalan,832,116,10,7,0,0,0
Kab Sampang,902,495,2,3,0,0,0
Kab Pamekasan,1036,4850,6,5,0,1,0
Kab Sumenep,1502,2742,6,3,0,1,2
Kota Kediri,194,177,54,22,1,3,1
Kota Blitar,121,208,27,22,0,2,0
Kota Malang,568,1091,68,20,5,10,4
Kota Probolinggo,119,316,48,6,0,0,0
Kota Pasuruan,89,489,33,5,0,4,0
Kota Mojokerto,73,179,28,5,0,3,1
Kota Madiun,186,231,54,9,0,4,1
Kota Surabaya,1138,1451,700,48,8,36,4
Kota Batu,139,428,15,10,5,6,0
